# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=12
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_12.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.285753
# Diagonal elements of inverse mass matrix:
# 0.158339, 1.3869, 1.23185, 1.0209, 0.817091, 0.59902, 0.0337314, 0.761084, 1.35671
-17.9364,0.926741,0.285753,3,7,0,24.447,0.423212,0.0418449,0.222961,0.463476,1.08566,0.107396,0.363351,0.10652,0.889249,0.337674
-19.9777,0.674247,0.285753,3,11,0,22.2853,0.600882,0.102805,0.183581,0.119944,0.173817,0.167544,0.315673,0.164223,0.185592,0.479435
-19.2414,0.937172,0.285753,4,31,0,23.8437,0.132107,0.0159581,0.0448243,0.0260039,0.216449,0.041374,0.342535,0.0526735,0.0393773,0.105406
-17.4429,0.985647,0.285753,4,15,0,23.1173,0.1894,0.0824653,0.0881932,0.1624,0.0499572,0.15001,0.269626,0.0690383,0.194294,0.151119
-15.0992,0.986485,0.285753,3,15,0,19.7017,0.154104,0.0403837,0.0426634,0.0816873,0.314853,0.102008,0.366234,0.0961244,0.195239,0.122957
-20.7082,0.859925,0.285753,4,15,0,25.3116,0.435481,0.00401765,0.196267,0.210006,0.536736,0.0901669,0.400215,0.00920592,0.025253,0.347464
-21.5094,0.97648,0.285753,4,15,0,27.9627,0.0983013,0.00411693,0.0928643,0.0729583,0.125462,0.0685794,0.350851,0.0110206,0.119861,0.0784332
-21.5466,0.744718,0.285753,4,15,0,32.8855,0.370615,0.00299022,0.153902,0.0786892,0.155724,0.123332,0.482193,0.0114137,0.218861,0.295708
-18.3111,0.994718,0.285753,3,7,0,22.6633,0.195781,0.00258874,0.167977,0.177606,0.282791,0.134022,0.346295,0.00997923,0.292493,0.156211
-18.8618,0.797117,0.285753,3,15,0,26.0268,0.620622,0.074861,0.200441,0.0380003,1.04073,0.0828286,0.334312,0.100658,0.131799,0.495185
-20.1871,0.998946,0.285753,3,7,0,21.5819,0.8446,0.0563694,0.315282,0.0366176,0.843041,0.0912261,0.314699,0.113124,0.159111,0.673893
